# The Voronoi cells of the 512 games (games.csv) on the unit disk, as every sunflower map draws them: the Voronoi
# diagram of the 512 disk points, their 512 inversions in the unit circle and 32 far points on the circle of radius 3,
# each cell of a real point clipped to the unit circle by Sutherland-Hodgman against a circumscribed 64-gon, the cut
# vertices pushed back onto the circle (DiskM2WF/Opt/vor.py, cells(); common.games.compute_cells).  The cells tile
# the disk up to the 64-gon (total area 99.94% of pi).
# Columns:
#   ipt   the cell (games.csv); rows of one cell are consecutive, cells in ipt order
#   k     the vertex, 0..n-1, in the polygon's cyclic order (as scipy's Voronoi gave it; the orientation varies)
#   x, y  the vertex on the unit disk, float64 written round-trip exact
ipt,k,x,y
80,1,0.4165486584466237,-0.1590047311358437
80,2,0.3737829319857927,-0.19563904035862317
80,3,0.3400908660109082,-0.1902604645462531
80,4,0.32130038960840174,-0.12439719822212134
80,5,0.3347393412604586,-0.10615458731367486
81,0,-0.15349094325754034,0.311430122407975
81,1,-0.123541122977733,0.37248978123459103
81,2,-0.14417209393405994,0.39867849434575003
81,3,-0.20110174591946323,0.40084853112666813
81,4,-0.21417829794812795,0.3341774074072331
81,5,-0.17709911210721133,0.30688505475151834
82,0,-0.07684590592267349,-0.34898917377694477
82,1,-0.0683388206633167,-0.3931828784662209
82,2,-0.12302359757380596,-0.43397353695321694
82,3,-0.1640156694685916,-0.39304934912790357
82,4,-0.16151966112946226,-0.3608645689444554
82,5,-0.09850798961393469,-0.33558059962296205
83,0,0.29465506058912355,0.20749152776065233
83,1,0.31785657387559935,0.24471841819897205
83,2,0.3858456555574744,0.23827492586755242
83,3,0.3883785524630275,0.17969038103772228
83,4,0.36525929833083487,0.1582369302077602
83,5,0.30166888413473986,0.18183138725182724
84,0,-0.36048766962275414,0.046021801492580776
84,1,-0.4018775336177805,0.03463310432306247
84,2,-0.44804129827388794,0.08524246491830051
84,3,-0.4094227744505566,0.13057702003119154
84,4,-0.37908473865021924,0.13063384035595135
84,5,-0.34782103568124645,0.07060537909808955
85,0,0.2743606933129501,-0.3674110490954743
85,1,0.2740953165040658,-0.2986646647531714
85,2,0.23690968772142634,-0.2794797573613942
85,3,0.20972966377588537,-0.28929543316943185
85,4,0.19273576673261114,-0.35458437099654544
85,5,0.21464446730659975,-0.37466211220864615
86,0,0.04152043176649458,0.35745049022645975
86,1,0.013782157448078973,0.3691508593007678
86,2,-0.00018029370003095485,0.4075489237566013
86,3,0.045885919560749305,0.45876774485186816
86,4,0.09536894021046867,0.4231636855618504
86,5,0.09780013033554771,0.39436991380809383
87,0,-0.3407163490408534,-0.2263613470951434
87,1,-0.3579346374876472,-0.24851687406866382
87,2,-0.34554799675944675,-0.30897000592860624
87,3,-0.2767440817890827,-0.302003622214844
87,4,-0.2613124178427535,-0.26537469512072925
87,5,-0.274304637264927,-0.2367248733936836
88,0,0.40683579101914846,-0.06339045948351812
88,1,0.433582589238765,-0.05891584945673822
88,2,0.4659235489237284,-0.00539233519015106
88,3,0.4102514686683935,0.035655806650143895
88,4,0.3747506173746028,0.019546743646578716
88,5,0.36451547224339675,-0.011159631623207017
89,0,-0.29209984243587844,0.24032956770280972
89,1,-0.32801544461402266,0.25218528415807867
89,2,-0.34180964700800964,0.3204157837269006
89,3,-0.2811029635929023,0.33791452558615864
89,4,-0.25912759783613826,0.32353713741668344
89,5,-0.26265061451009897,0.25656826281682765
90,0,-0.027329072201990053,-0.4163197953603342
90,1,0.02025529953373373,-0.3690869717537425
90,2,0.053858880659527826,-0.377313768434297
90,3,0.07184119176192588,-0.40958478711606505
90,4,0.03595748458914931,-0.46967937278414723
90,5,-0.021129008945544286,-0.44089842966766957
91,0,0.2920291117459678,0.3725960583537571
91,1,0.22513263417366416,0.35206014407367237
91,2,0.21665033076555448,0.31700749288213204
91,3,0.2362053323248454,0.28738340517862027
91,4,0.3031672102439922,0.2904155713556752
91,5,0.3148920582957502,0.31198186807046613
92,0,-0.37662852600496965,-0.08854056269545482
92,1,-0.370622287162884,-0.052248228772732164
92,2,-0.4224538208915564,-0.009631673699957342
